,cwnd,p
0,1054.0,2.0186523476926804e-05
1,1055.0,2.0186523476926804e-05
2,1056.0,2.0186523476926804e-05
3,1057.0,2.0186523476926804e-05
4,1058.0,2.0186523476926804e-05
5,1059.0,2.0186523476926804e-05
6,1060.0,2.0186523476926804e-05
7,1061.0,2.0186523476926804e-05
8,1062.0,2.0186523476926804e-05
9,1063.0,2.0186523476926804e-05
10,1064.0,2.0186523476926804e-05
11,1065.0,2.0186523476926804e-05
12,1066.0,2.0186523476926804e-05
13,1067.0,2.0186523476926804e-05
14,1068.0,2.0186523476926804e-05
15,1069.0,2.0186523476926804e-05
16,1070.0,2.0186523476926804e-05
17,1071.0,2.0186523476926804e-05
18,1072.0,2.0186523476926804e-05
19,1073.0,2.0186523476926804e-05
20,1074.0,2.0186523476926804e-05
21,1075.0,2.0186523476926804e-05
22,1076.0,2.0186523476926804e-05
23,1077.0,2.0186523476926804e-05
24,1078.0,2.0186523476926804e-05
25,1079.0,2.0186523476926804e-05
26,1080.0,2.0186523476926804e-05
27,1081.0,2.0186523476926804e-05
28,1082.0,2.0186523476926804e-05
29,1083.0,2.0186523476926804e-05
30,1084.0,2.0186523476926804e-05
31,1085.0,2.0186523476926804e-05
32,1086.0,2.0186523476926804e-05
33,1087.0,2.0186523476926804e-05
34,1088.0,2.0186523476926804e-05
35,1089.0,2.0186523476926804e-05
36,1090.0,2.0186523476926804e-05
37,1091.0,2.0186523476926804e-05
38,1092.0,2.0186523476926804e-05
39,1093.0,2.0186523476926804e-05
40,1094.0,2.0186523476926804e-05
41,1095.0,2.0186523476926804e-05
42,1096.0,2.0186523476926804e-05
43,1097.0,2.0186523476926804e-05
44,1098.0,2.0186523476926804e-05
45,1099.0,2.0186523476926804e-05
46,1100.0,2.0186523476926804e-05
47,1101.0,2.0186523476926804e-05
48,1102.0,2.0186523476926804e-05
49,1103.0,2.0186523476926804e-05
50,1104.0,2.0186523476926804e-05
51,1105.0,2.0186523476926804e-05
52,1106.0,2.0186523476926804e-05
53,1107.0,2.0186523476926804e-05
54,1108.0,2.0186523476926804e-05
55,1109.0,2.0186523476926804e-05
56,1110.0,2.0186523476926804e-05
57,1111.0,2.0186523476926804e-05
58,1112.0,2.0186523476926804e-05
59,1113.0,2.0186523476926804e-05
60,1114.0,2.0186523476926804e-05
61,1115.0,2.0186523476926804e-05
62,1116.0,2.0186523476926804e-05
