,cwnd,p
0,69.0,0.0003534817956875221
1,70.0,0.0003534817956875221
2,71.0,0.0003534817956875221
3,72.0,0.0003534817956875221
4,73.0,0.0003534817956875221
5,74.0,0.0003534817956875221
6,75.0,0.0003534817956875221
7,76.0,0.0003534817956875221
8,77.0,0.0003534817956875221
9,78.0,0.0003534817956875221
10,79.0,0.0003534817956875221
11,80.0,0.0003534817956875221
12,81.0,0.0003534817956875221
13,82.0,0.0003534817956875221
14,83.0,0.0003534817956875221
15,84.0,0.0003534817956875221
16,85.0,0.0003534817956875221
17,86.0,0.0003534817956875221
18,87.0,0.00015124016938898973
19,88.0,0.00015124016938898973
20,89.0,0.00015124016938898973
21,90.0,0.00015124016938898973
22,91.0,0.00015124016938898973
23,92.0,0.00013419216317767042
24,93.0,0.00013419216317767042
25,94.0,0.00012227928588897041
26,95.0,0.00012227928588897041
27,96.0,0.00012227928588897041
28,97.0,0.00012227928588897041
29,98.0,0.00012227928588897041
30,99.0,0.00012227928588897041
31,100.0,0.00010638297872340425
32,101.0,0.00010638297872340425
33,102.0,0.00010638297872340425
34,103.0,9.906875371507826e-05
35,104.0,9.335324869305452e-05
36,105.0,9.335324869305452e-05
37,106.0,9.335324869305452e-05
38,107.0,8.816787162757891e-05
39,108.0,8.816787162757891e-05
40,109.0,8.416799932665601e-05
41,110.0,8.416799932665601e-05
42,111.0,7.833920877399138e-05
43,112.0,0.00015664160401002505
44,113.0,8.045052292839903e-05
45,114.0,7.76276975624903e-05
46,115.0,7.763975155279503e-05
47,116.0,0.00021732831063459867
48,117.0,7.432181345224824e-05
49,118.0,7.432181345224824e-05
50,119.0,0.00022114108801415304
51,120.0,0.00022114108801415304
52,121.0,7.31368390258173e-05
53,122.0,7.066139061616732e-05
54,123.0,7.066139061616732e-05
55,124.0,6.610259122157589e-05
56,125.0,6.610259122157589e-05
57,126.0,6.610259122157589e-05
58,127.0,6.610259122157589e-05
59,128.0,0.00012303149606299212
60,129.0,6.152331733727083e-05
61,130.0,6.152331733727083e-05
62,131.0,6.0584030049678906e-05
63,132.0,6.0584030049678906e-05
64,133.0,5.828524800373026e-05
65,134.0,5.828524800373026e-05
66,135.0,5.698005698005698e-05
67,136.0,5.698005698005698e-05
68,137.0,5.367110347788751e-05
69,138.0,5.367110347788751e-05
70,139.0,5.367110347788751e-05
71,140.0,5.367110347788751e-05
72,141.0,5.367110347788751e-05
73,142.0,5.367110347788751e-05
74,143.0,5.367110347788751e-05
75,144.0,5.367110347788751e-05
76,145.0,5.367110347788751e-05
77,146.0,5.367110347788751e-05
78,147.0,4.5051133035995854e-05
79,148.0,4.5051133035995854e-05
80,149.0,4.534736078360239e-05
81,150.0,8.658008658008658e-05
82,151.0,4.328442193654504e-05
83,152.0,4.328442193654504e-05
84,153.0,4.244121891180715e-05
85,154.0,4.244121891180715e-05
86,155.0,4.244121891180715e-05
87,156.0,3.885003885003885e-05
88,157.0,3.907623773983041e-05
89,158.0,3.907623773983041e-05
90,159.0,3.907623773983041e-05
91,160.0,3.907623773983041e-05
92,161.0,3.5091413131206796e-05
93,162.0,3.6310820624546116e-05
94,163.0,3.695764653706852e-05
95,164.0,3.695764653706852e-05
96,165.0,7.047216349541931e-05
97,166.0,7.047216349541931e-05
98,167.0,7.047216349541931e-05
99,168.0,3.401360544217687e-05
100,169.0,3.460327346967023e-05
101,170.0,3.361344537815126e-05
102,171.0,3.361344537815126e-05
103,172.0,3.360666756284447e-05
104,173.0,3.322038402763936e-05
105,174.0,3.322038402763936e-05
106,175.0,3.322038402763936e-05
107,176.0,3.322038402763936e-05
108,177.0,3.322038402763936e-05
109,178.0,3.322038402763936e-05
110,179.0,3.322038402763936e-05
111,180.0,5.817335660267598e-05
112,181.0,5.817335660267598e-05
113,182.0,8.585164835164836e-05
114,183.0,8.237910865804432e-05
115,184.0,8.237910865804432e-05
116,185.0,8.237910865804432e-05
117,186.0,8.237910865804432e-05
118,187.0,8.237910865804432e-05
119,188.0,8.237910865804432e-05
120,189.0,8.237910865804432e-05
121,190.0,5.2369730295888974e-05
122,191.0,2.6576660376857043e-05
123,192.0,5.260942760942761e-05
124,193.0,5.260942760942761e-05
125,194.0,7.889753839680202e-05
126,195.0,7.889753839680202e-05
127,196.0,7.889753839680202e-05
128,197.0,7.889753839680202e-05
129,198.0,2.616841995080337e-05
130,199.0,2.5508251919495956e-05
131,200.0,2.4752475247524754e-05
132,201.0,2.4752475247524754e-05
133,202.0,2.4752475247524754e-05
134,203.0,7.61769336244985e-05
135,204.0,2.4883049666567136e-05
136,205.0,5.08130081300813e-05
137,206.0,5.08130081300813e-05
138,207.0,5.08130081300813e-05
139,208.0,5.08130081300813e-05
140,209.0,2.3226645607841314e-05
141,210.0,2.3226645607841314e-05
142,211.0,2.381576127080902e-05
143,212.0,2.381576127080902e-05
144,213.0,2.2680365607493593e-05
145,214.0,2.2680365607493593e-05
146,215.0,2.2680365607493593e-05
147,216.0,2.2680365607493593e-05
148,217.0,2.2680365607493593e-05
149,218.0,2.1637528128786566e-05
150,219.0,2.1637528128786566e-05
151,220.0,2.134016218523261e-05
152,221.0,2.134016218523261e-05
153,222.0,2.134016218523261e-05
154,223.0,2.1252630012964103e-05
155,224.0,2.1252630012964103e-05
156,225.0,2.1252630012964103e-05
157,226.0,2.0021623353221478e-05
158,227.0,2.0021623353221478e-05
159,228.0,2.0021623353221478e-05
160,229.0,2.0216723273491833e-05
161,230.0,2.0216723273491833e-05
162,231.0,2.0216723273491833e-05
163,232.0,2.0216723273491833e-05
164,233.0,2.0216723273491833e-05
165,234.0,2.0216723273491833e-05
166,235.0,1.934235976789168e-05
167,236.0,1.934235976789168e-05
168,237.0,1.934235976789168e-05
169,238.0,1.934235976789168e-05
170,239.0,1.934235976789168e-05
171,240.0,1.8601190476190478e-05
172,241.0,1.8601190476190478e-05
173,242.0,1.861365497729134e-05
174,243.0,3.7074111148185224e-05
175,244.0,3.7074111148185224e-05
176,245.0,3.7074111148185224e-05
177,246.0,1.8310993920750017e-05
178,247.0,3.68052999631947e-05
179,248.0,1.8754688672168043e-05
180,249.0,1.8754688672168043e-05
181,250.0,1.8099547511312218e-05
182,251.0,1.8359740760460463e-05
183,252.0,1.77948608441882e-05
184,253.0,1.756697408871322e-05
185,254.0,3.438434824467902e-05
186,255.0,3.438434824467902e-05
187,256.0,1.8253504672897195e-05
188,257.0,1.8253504672897195e-05
189,258.0,1.8253504672897195e-05
190,259.0,5.313308065601643e-05
191,260.0,5.313308065601643e-05
192,261.0,5.313308065601643e-05
193,262.0,5.313308065601643e-05
194,263.0,1.810610175629187e-05
195,264.0,1.7618040873854827e-05
196,265.0,1.7618040873854827e-05
197,266.0,1.7618040873854827e-05
198,267.0,1.7618040873854827e-05
199,268.0,1.6883906260552443e-05
200,269.0,1.6883906260552443e-05
201,270.0,1.6883906260552443e-05
202,271.0,1.6621787839500017e-05
203,272.0,3.25351379489849e-05
204,273.0,3.25351379489849e-05
205,274.0,3.25351379489849e-05
206,275.0,1.6757436112274822e-05
207,276.0,1.639451767329005e-05
208,277.0,1.639451767329005e-05
209,278.0,1.639451767329005e-05
210,279.0,3.258390355164549e-05
211,280.0,1.6087516087516086e-05
212,281.0,1.6707600287370726e-05
213,282.0,1.6266510508165787e-05
214,283.0,1.6266510508165787e-05
215,284.0,1.615195761726321e-05
216,285.0,1.615195761726321e-05
217,286.0,1.615195761726321e-05
218,287.0,1.615195761726321e-05
219,288.0,1.615195761726321e-05
220,289.0,1.615195761726321e-05
221,290.0,1.615195761726321e-05
222,291.0,1.6601092351876752e-05
223,292.0,1.6601092351876752e-05
224,293.0,1.6601092351876752e-05
225,294.0,1.6601092351876752e-05
226,295.0,1.6601092351876752e-05
227,296.0,1.6601092351876752e-05
228,297.0,1.6601092351876752e-05
229,298.0,1.621113380669844e-05
230,299.0,3.170124744408692e-05
231,300.0,3.170124744408692e-05
232,301.0,4.746084480303749e-05
233,302.0,3.2947843563638756e-05
234,303.0,1.65016501650165e-05
235,304.0,4.9342105263157894e-05
236,305.0,1.725625539257981e-05
237,306.0,1.725625539257981e-05
238,307.0,1.725625539257981e-05
239,308.0,1.725625539257981e-05
240,309.0,1.725625539257981e-05
241,310.0,1.725625539257981e-05
242,311.0,1.725625539257981e-05
243,312.0,1.725625539257981e-05
244,313.0,1.597444089456869e-05
245,314.0,1.608441098886959e-05
246,315.0,1.608441098886959e-05
247,316.0,1.665556295802798e-05
248,317.0,1.6603021749958493e-05
249,318.0,1.6293544497670023e-05
250,319.0,3.334889615153738e-05
251,320.0,1.6711229946524065e-05
252,321.0,1.66591700401486e-05
253,322.0,1.6696720764041943e-05
254,323.0,3.439972480220158e-05
255,324.0,1.7146776406035666e-05
256,325.0,1.7094017094017095e-05
257,326.0,1.7136785824450765e-05
258,327.0,1.7136785824450765e-05
259,328.0,1.722474851867163e-05
260,329.0,1.722474851867163e-05
261,330.0,1.722474851867163e-05
262,331.0,1.736291974858492e-05
263,332.0,1.6827084875816113e-05
264,333.0,1.6827084875816113e-05
265,334.0,3.383064379715146e-05
266,335.0,3.383064379715146e-05
267,336.0,1.7104542966611933e-05
268,337.0,1.7104542966611933e-05
269,338.0,3.440209164717215e-05
270,339.0,3.440209164717215e-05
271,340.0,3.419972640218878e-05
272,341.0,3.419972640218878e-05
273,342.0,1.7508841965192423e-05
274,343.0,1.7508841965192423e-05
275,344.0,1.7508841965192423e-05
276,345.0,3.513394817742644e-05
277,346.0,1.6515276630883568e-05
278,347.0,1.6515276630883568e-05
279,348.0,1.6515276630883568e-05
280,349.0,1.6515276630883568e-05
281,350.0,1.6515276630883568e-05
282,351.0,1.7806267806267805e-05
283,352.0,1.7645398080180688e-05
284,353.0,1.737951650185092e-05
285,354.0,1.78788528927984e-05
286,355.0,1.78788528927984e-05
287,356.0,1.78788528927984e-05
288,357.0,1.7955900308841486e-05
289,358.0,1.7955900308841486e-05
290,359.0,1.7955900308841486e-05
291,360.0,1.8155410312273058e-05
292,361.0,1.8105118316948202e-05
293,362.0,1.8105118316948202e-05
294,363.0,1.8105118316948202e-05
295,364.0,1.8437937901025148e-05
296,365.0,1.8437937901025148e-05
297,366.0,1.8437937901025148e-05
298,367.0,3.810902993464301e-05
299,368.0,3.810902993464301e-05
300,369.0,1.8689842070834502e-05
301,370.0,1.7898693395382138e-05
302,371.0,1.9116438225229875e-05
303,372.0,1.9339367215904696e-05
304,373.0,1.9339367215904696e-05
305,374.0,1.9339367215904696e-05
306,375.0,1.9339367215904696e-05
307,376.0,1.9339367215904696e-05
308,377.0,1.9339367215904696e-05
309,378.0,1.9339367215904696e-05
310,379.0,1.9838514492034837e-05
311,380.0,1.9838514492034837e-05
312,381.0,1.9838514492034837e-05
313,382.0,1.9838514492034837e-05
314,383.0,1.9838514492034837e-05
315,384.0,2.018733850129199e-05
316,385.0,2.018733850129199e-05
317,386.0,2.0082740892477006e-05
318,387.0,2.0082740892477006e-05
319,388.0,2.0135309278350515e-05
320,389.0,2.0135309278350515e-05
321,390.0,2.0512820512820512e-05
